date,title,description,source,url,sentiment_polarity,sentiment_subjectivity
2025-12-09,IndusInd Bank Makes Key Leadership Appointments,"The Bank appointed Amitabh Kumar Singh as CHRO. Prior to joining IndusInd Bank, Singh spent two decades in senior leadership roles across the ICICI Group, including as CHRO at ICICI Home Finance, and held key roles at ICICI Prudential Life Insurance and ICICI Bank.",Deccan Chronicle,https://www.deccanchronicle.com/nation/indusind-bank-makes-key-leadership-appointments-1922767,-0.025,0.525
2025-12-09,"Sensex falls 436 points, Nifty slips as markets decline ahead of US fed policy decision","Asian Paints, Tech Mahindra, HCL Technologies, Tata Steel, Maruti Suzuki India, Sun Pharmaceuticals, Tata Consultancy Services, ICICI Bank, Bajaj Finance, UltraTech Cement, Mahindra & Mahindra and Tata Motors Passenger Vehicles were the laggards",Telegraph India,https://www.telegraphindia.com/business/sensex-drops-436-points-to-settle-at-84666-nifty-falls-120-points-to-25839/cid/2136976,0.0,0.0
2025-12-09,"ICICI Prudential AMC IPO opens on December 12: GMP up 5% - Check price band, ICICI Bank’s additional stake buy",ICICI Prudential AMC IPO opens Dec 12 with a 5% GMP premium; check price band and subscription dates now.,The Financial Express,https://www.financialexpress.com/market/ipo-news-icici-prudential-amc-ipo-opens-on-december-12-gmp-up-5-check-price-band-icici-banks-additional-stake-buy-4070711/,0.0,0.0
2025-12-09,"Jefferies revamps 2026 portfolio: Cuts Indigo; adds BPCL, Axis Bank, 4 other stocks","Jefferies updates its India model portfolio for 2026, adding six stocks including Axis Bank, AU Small Finance Bank, BPCL, JSW Energy, Godrej Properties, and SAMIL, while removing ICICI Bank, NTPC, Tata Steel, Crompton Consumer, Belrise, and IndiGo.",The Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/jefferies-revamps-2026-portfolio-cuts-indigo-adds-bpcl-axis-bank-4-other-stocks/articleshow/125863365.cms,-0.1875,0.3875
2025-12-09,"ICICI Bank shares fall today, as lender moves to buy additional stake in ICICI Prudential AMC ahead of IPO",ICICI Bank said the transaction is aimed at maintaining its majority shareholding in ICICI AMC in the event of stock-based compensation being granted by the asset manager.,Moneycontrol,https://www.moneycontrol.com/news/business/stocks/icici-bank-shares-fall-today-as-lender-moves-to-buy-additional-stake-in-icici-prudential-amc-ahead-of-ipo-13716732.html,0.0,0.0
2025-12-09,"Stocks to buy for short term: ICICI Bank, Tech Mahindra, Wipro among 5 top picks from experts for the next 1-2 weeks","Stocks to buy: The Nifty 50 closed below its 20-day simple moving average (SMA) on Monday. Experts believe that as long as the index remains below this level, weak sentiment will persist.",Livemint,https://www.livemint.com/market/stock-market-news/stocks-to-buy-for-short-term-icici-bank-tech-mahindra-wipro-among-5-top-picks-from-experts-for-the-next-1-2-weeks-11765249121166.html,-0.021875,0.3352678571428571
2025-12-09,"Jefferies adds BPCL, SAMIL, others to 'model portfolio', trims IndiGo; Full list here","Godrej Properties, Bharat Petroleum Corporation, JSW Energy, and AU Small Finance Bank have been added. The brokerage has also brought Axis Bank and SAMIL into the portfolio, while reducing exposure to ICICI Bank, NTPC, Tata Steel, CRG and InterGlobe Aviation, the parent of IndiGo.",CNBC TV18,https://www.cnbctv18.com/market/jefferies-adds-bpcl-samil-axis-bank-others-to-model-portfolio-trims-indigo-icici-bank-ntpc-full-list-here-19784984.htm,0.04999999999999999,0.47500000000000003
2025-12-09,"India's Second-Largest Private Sector Lender, ICICI Bank, Aims To Maintain 51% Stake In All Three Listed Entities","ICICI Bank is aiming to maintain a 51 per cent stake in all three of its listed entities.ICICI Prudential AMC has applied to launch a specialised investment fund as well and is looking to launch its offering in the next six months. Its Executive Director, Sandeep Batra, said the bank is also committed to maintaining over 51 per cent stake in the IPO-bound ICICI Prudential Asset Management Company.",Free Press Journal,https://www.freepressjournal.in/business/indias-second-largest-private-sector-lender-icici-bank-aims-to-maintain-51-stake-in-all-three-listed-entities,0.0,0.1875
2025-12-09,"Stocks To Watch: IndiGo, Siemens, ICICI Bank, Bajaj Finserv, Torrent Power, And Others","Stocks to watch: Shares of firms like IndiGo, Siemens, ICICI Bank, Bajaj Finserv, Torrent Power, and others will be in focus on Tuesday's trade",News18,https://www.news18.com/business/markets/stocks-to-watch-indigo-siemens-icici-bank-bajaj-finserv-torrent-power-and-others-9757834.html,0.0,0.0
2025-12-09,"Stocks in focus today: L&T, JSW Infra, Siemens, ICICI Bank, Torrent Power, Artificial Electronics, Arvind Fashions, UGRO Capital, Orient Green Power among a dozen others","Today's market highlights include major expansions and acquisitions involving JSW Infra, Torrent Power, ICICI Bank, Siemens, and Arvind Fashions.",The Hindu Business Line,https://www.thehindubusinessline.com/markets/stocks-in-focus-today-lt-jsw-infra-siemens-icici-bank-torrent-power-artificial-electronics-arvind-fashions-ugro-capital-orient-green-power-among-a-dozen-others/article70374711.ece,-0.24583333333333335,0.6
