date,title,description,source,url,sentiment_polarity,sentiment_subjectivity
2025-12-09,Presenting the jury for The Economic Times Awards for Corporate Excellence,This article highlights key Indian business leaders. Sunil Bharti Mittal leads Bharti Enterprises. Noel Naval Tata chairs Tata Trusts. Roshni Nadar Malhotra heads HCLTech. Sajjan Jindal commands JSW Group. Priya Nair leads Hindustan Unilever. Uday Kotak is a director at Kotak Mahindra Bank. Abhishek Manu Singhvi is a senior advocate. Lalit Keshre co-founded Groww. Dr.,The Economic Times,https://economictimes.indiatimes.com/news/company/corporate-trends/presenting-the-jury-for-the-economic-times-awards-for-corporate-excellence/articleshow/125864558.cms,0.06666666666666667,0.39999999999999997
2025-12-08,"Sensex crashes 610 points, Nifty falls 226 as FII selling and fed jitters hit markets","Bharat Electronics Ltd, Eternal, Trent, Tata Steel, Bajaj Finance, Adani Ports, Bajaj Finserv, State Bank of India, PowerGrid, Asian Paints, Tata Motors Passenger Vehicles, Titan, NTPC, Kotak Mahindra Bank, Larsen & Toubro and Bharti Airtel were among the laggards",Telegraph India,https://www.telegraphindia.com/business/sensex-tanks-609-points-to-settle-at-85102-nifty-drops-225-points-to-25960/cid/2136797,0.0,0.0
2025-12-06,"PNB, BoI, Union Bank, Suryoday SFB, Four Others Revise FD Rates, Up To 8 Per Cent For Seniors","Eight banks, including Punjab National Bank, Bank of India, Union Bank, Yes Bank, Kotak Mahindra Bank, Jana Small Finance Bank (SFB), Suryoday SFB, and Utkarsh SFB, revised FD rates during the week ended December 6, 2025",Outlook Money,https://www.outlookmoney.com/retirement/invest/fd-small-savings/pnb-boi-union-bank-suryoday-sfb-and-four-others-revise-fd-rates-up-to-8-per-cent-for-seniors,-0.25,0.4
2025-12-05,Soap Scents & Savings Strategies: How A Consumer Goods Veteran Is Reprogramming Indian Finance,"Rohit Bhasin, President & CMO of Kotak Mahindra Bank joins Vivek Law on the Simple Hai! podcast and talks about how he is incorporating consumer-centric marketing into banking to address India’s massive investment gap and shift citizens from being",Free Press Journal,https://www.freepressjournal.in/business/soap-scents-savings-strategies-how-a-consumer-goods-veteran-is-reprogramming-indian-finance,0.0,0.4523809523809524
2025-12-03,Time for India Inc to shake out of comfort zone: Uday Kotak,"Uday Kotak, founder and director of Kotak Mahindra Bank, urged Indian businesses to break out of their comfort zone as the rupee hit a record low against the dollar. He attributed the decline to foreign institutions selling Indian equities, which have been on a buying spree. The rupee is one of Asia’s worst performers, with […] | financialexpress.com",The Financial Express,https://www.financialexpress.com/shorts/business/industry/news/time-for-india-inc-to-shake-out-of-comfort-zone-uday-kotak-4064932/,-0.375,0.47500000000000003
2025-12-03,"Adani Enterprises tops Nifty EPS upgrade in Nov; IndiGo, Trent lead downgrades; full list","The stocks that saw the biggest EPS cuts included InterGlobe Aviation (11.2 per cent), Trent (7.1 per cent), Kotak Mahindra Bank (6.1 per cent), Power Grid (3.8 per cent) and Grasim (3 per cent).",Business Today,https://www.businesstoday.in/markets/stocks/story/adani-enterprises-tops-nifty-eps-upgrade-in-nov-indigo-trent-lead-downgrades-full-list-504712-2025-12-03,0.35,0.55
2025-12-03,"Stock Market LIVE Updates: Sensex down 190 pts, Nifty below 26,000; auto, PSU, FMCG drag, IT gains","Sensex Today | Stock Market LIVE Updates: BSE Midcap and smallcap indices are trading flat. Dr Reddy's Labs, Hindalco, Asian Paints, Axis Bank, TCS are among major gainers on the Nifty, while losers are Max Healthcare, Shriram Finance, Titan Company, Kotak Mahindra Bank, Tata Consumer. Among sectors, IT, Telecom up 1% each, while auto, Consumer Durables, FMCG down 0.5% each.",Moneycontrol,https://www.moneycontrol.com/news/business/markets/stock-market-live-sensex-nifty-50-share-price-gift-nifty-latest-updates-03-12-2025-liveblog-13707533.html,-0.033431537598204275,0.2748456790123457
2025-12-01,"Sensex, Nifty Hit Fresh Lifetime Highs in Early Trade","From the Sensex firms, Adani Ports, Bharat Electronics, Eternal, Tata Motors Passenger Vehicles, State Bank of India and Kotak Mahindra Bank were among the biggest gainers",Deccan Chronicle,https://www.deccanchronicle.com/business/market/sensex-nifty-hit-fresh-lifetime-highs-in-early-trade-1920780,0.2,0.4
2025-12-01,"Stock Market LIVE Updates: Sensex up 280 pts, Nifty near 26,300; auto, metal, banks shine","Sensex Today | Stock Market LIVE Updates: Kotak Mahindra Bank, SBI, L&T, ONGC, Maruti Suzuki are among major gainers on the Nifty, while losers are Tata Consumer, Bajaj Finance, Titan Company, Asian Paints, Cipla. BSE Midcap index up 0.2%, while smallcap index up 0.4%. On the sectoral front, PSU Bank, auto, metal up 0.5-1%.",Moneycontrol,https://www.moneycontrol.com/news/business/markets/stock-market-live-sensex-nifty-50-share-price-gift-nifty-latest-updates-01-12-2025-liveblog-13703452.html,0.03920454545454544,0.35000000000000003
2025-12-01,"Will Nifty extend its rally towards 26,500-26,800 this week?","Analysts anticipate the Nifty's upward trend to continue this week, driven by a multi-month consolidation breakout and strong sector performance. Key support levels are expected to hold, with a buy-on-dips strategy recommended as the index targets 26,500-26,800. Several stocks, including Adani Ports and Kotak Mahindra Bank, are highlighted for potential gains.",The Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/will-nifty-extend-its-rally-towards-2650026800-this-week/articleshow/125682700.cms,0.06666666666666665,0.6266666666666667
