date,title,description,source,url,sentiment_polarity,sentiment_subjectivity
2025-12-09,Supreme Court Questions Necessity of Personal Hearings in Bank Fraud Cases,"The Supreme Court deliberated on whether bank account holders declared fraudulent need a personal hearing. State Bank of India opposed personal hearings, arguing written submissions suffice under RBI's protocol. Rising fraud numbers in India intensify the debate, with implications for the banking sector and national economy.",Devdiscourse,https://www.devdiscourse.com/article/law-order/3725035-supreme-court-questions-necessity-of-personal-hearings-in-bank-fraud-cases,0.0,0.3
2025-12-09,"Five Stocks To Buy Or Sell: L&T, PB Fintech, Wipro, SBI And Eternal","Market analysts and brokerages shared their top stock recommendations for the upcoming trading session, offering a mix of buy and sell calls across the technology, banking, and infrastructure sectors. Top picks included Larsen & Toubro Ltd., PB Fintech, and Wipro Ltd., while State Bank of India and Eternal appeared on the sell list.",NDTV Profit,https://www.ndtvprofit.com/markets/five-stocks-to-buy-or-sell-lt-pb-fintech-wipro-sbi-and-eternal,0.5,0.5
2025-12-08,Reliance tops Wizikey Newsmakers 2025 rankings for sixth straight year,"MUMBAI, Dec 8: Reliance Industries Ltd has been ranked the most visible listed company in India’s media landscape for 2025, according to the latest Wizikey Newsmakers rankings. State Bank of India and HDFC Bank secured the second and third positions, respectively, Wizikey said in a statement. The latest list marks the sixth consecutive year that Reliance has led the rankings, maintaining its position at the top since the index was launched. Wizikey said Reliance’s News Score has consistently climbed over […]",Daily Excelsior,https://www.dailyexcelsior.com/reliance-tops-wizikey-newsmakers-2025-rankings-for-sixth-straight-year/,0.27222222222222225,0.3944444444444445
2025-12-08,"Sensex crashes 610 points, Nifty falls 226 as FII selling and fed jitters hit markets","Bharat Electronics Ltd, Eternal, Trent, Tata Steel, Bajaj Finance, Adani Ports, Bajaj Finserv, State Bank of India, PowerGrid, Asian Paints, Tata Motors Passenger Vehicles, Titan, NTPC, Kotak Mahindra Bank, Larsen & Toubro and Bharti Airtel were among the laggards",Telegraph India,https://www.telegraphindia.com/business/sensex-tanks-609-points-to-settle-at-85102-nifty-drops-225-points-to-25960/cid/2136797,0.0,0.0
2025-12-07,Home loan surge: SBI’s mortgage book crosses Rs 9 lakh crore; RAM,"India Business News: State Bank of India's mortgage loan book surpassed Rs 9 lakh crore in November, with strong performance in retail, agriculture, and MSME segments. The",Times of India,https://timesofindia.indiatimes.com/business/india-business/home-loan-surge-sbis-mortgage-book-crosses-rs-9-lakh-crore-ram-led-demand-seen-driving-14-credit-growth/articleshow/125816307.cms,0.4333333333333333,0.7333333333333333
2025-12-07,SBI's Mortgage Momentum Spurs 14% Credit Growth Forecast,"State Bank of India's Chairman C S Setty announced that the bank's mortgage portfolio exceeded Rs 9 lakh crore, driving an anticipated 14% credit growth for the fiscal year. The RAM segment, comprising retail, agriculture, and MSMEs, plays a significant role in this expansion, alongside positive economic measures.",Devdiscourse,https://www.devdiscourse.com/article/headlines/3722456-sbis-mortgage-momentum-spurs-14-credit-growth-forecast,0.2674242424242424,0.5401515151515152
2025-12-07,"5 Top Companies Add Over Rs 72,000 Crore In Market Value Last Week","Bharti Airtel, TCS, ICICI Bank, Infosys and Bajaj Finance recorded gains in their market capitalisation, while Reliance Industries, HDFC Bank, State Bank of India, Larsen & Toubro, and Life Insurance Corporation of India (LIC) saw a decline in their valuations.",Zee News,https://zeenews.india.com/markets/5-top-companies-add-over-rs-72000-crore-in-market-value-last-week-2993199.html,0.25,0.2833333333333333
2025-12-07,"Mcap of five of top-10 most-valued firms surges Rs 72,285 cr; TCS, Infosys biggest winners","NEW DELHI, Dec 7:  The combined market valuation of five of the top-10 most valued firms surged by Rs 72,284.74 crore last week, with Tata Consultancy Services (TCS) and Infosys emerging as the biggest winners.   While Bharti Airtel, TCS, ICICI Bank, Infosys and Bajaj Finance were the gainers, Reliance Industries, HDFC Bank, State Bank of India, Larsen & Toubro, and Life Insurance Corporation of India (LIC) faced erosion from their valuation. Last week, the BSE benchmark eked out a […]",Daily Excelsior,https://www.dailyexcelsior.com/mcap-of-five-of-top-10-most-valued-firms-surges-rs-72285-cr-tcs-infosys-biggest-winners/,0.1590909090909091,0.271969696969697
2025-12-07,"TCS, Infosys lead as five top firms add Rs 72,000 crore to market cap in last week","While Bharti Airtel, TCS, ICICI Bank, Infosys and Bajaj Finance were the gainers, Reliance Industries, HDFC Bank, State Bank of India, Larsen & Toubro, and Life Insurance Corporation of India (LIC) faced erosion from their valuation.",The Financial Express,https://www.financialexpress.com/market/tcs-infosys-lead-as-five-top-firms-add-rs-72000-crore-to-market-cap-in-last-week-4068581/,0.25,0.2833333333333333
2025-12-07,"Valued Firms Surges ₹72,285 Cr; TCS, Infosys Biggest Winners – Outlook Business","While Bharti Airtel, TCS, ICICI Bank, Infosys and Bajaj Finance were the gainers, Reliance Industries, HDFC Bank, State Bank of India, Larsen & Toubro, and Life Insurance Corporation of India (LIC) faced erosion from their valuation",Outlook Business,https://www.outlookbusiness.com/news/mcap-of-five-of-top-10-most-valued-firms-surges-72285-cr-tcs-infosys-biggest-winners,0.0,0.0
