title,description,url,published_date,publisher,keyword,bank,sector,text_for_sentiment,sentiment_compound,sentiment_positive,sentiment_neutral,sentiment_negative,sentiment_label,source,collected_at
Kotak Mahindra Bank named Best Cash Management Bank in India for digital-first services and consistent innovation - The Asian Banker,Kotak Mahindra Bank named Best Cash Management Bank in India for digital-first services and consistent innovation  The Asian Banker,https://news.google.com/rss/articles/CBMi-AFBVV95cUxPWmdGYXhmZmVkV3pPYXVFbmxtLXJhb3BQdE1iaEh0aVVhN3NYa1AyYUc2SVJQMjV3RGpCeEpWSndIeUpzUFFUdTQ3dnlRQjdxdUFnbWVPWk9BSTZpZ2JwQlVFWFpfa0w5alM0RlVjamR1LWxiWXVNUGNDd3A3UElNVlVsZDNhaFMzeGg3a3JwOG1QVmpNbEIzWXo4V2htYnItQlNzcjVkMXlMUmhFMnlhT3NEME5odU1PNGRuTzRHRHN3OFI2M21pSDY5MmJRRkRVNmZDM1JCMFZTYVhZNVBkV1hCS29XOTVJei16UE5vSHFyTHk1UGlaRA?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Thu, 22 May 2025 09:29:40 GMT",The Asian Banker,Kotak Mahindra,Kotak Mahindra Bank,Private Banks,Kotak Mahindra Bank named Best Cash Management Bank in India for digital-first services and consistent innovation - The Asian Banker Kotak Mahindra Bank named Best Cash Management Bank in India for digital-first services and consistent innovation  The Asian Banker,0.9274,0.28,0.72,0.0,positive,GNews,2025-12-09 13:45:54
Why Kotak Mahindra Bank is in a hurry to swallow IDBI - The Morning Context,Why Kotak Mahindra Bank is in a hurry to swallow IDBI  The Morning Context,https://news.google.com/rss/articles/CBMinAFBVV95cUxPSXFKQUJCMkpFOWI4bDI0M2tydmJrRmF6a0F6MW5OQXhOVTEyWkFZUTk2V0JsZWh2djJ6V0VBQkNfYzI2OTNELUtqNXMxTEZoREp4cEdlVFp1ZXI4dUdjRl9QbzNzVVlqdHlVX2RBaGZOR3dYZmFER3ViR3ZvQVkwV0ptQTRYNW9ET1lGSnhBUXF4a1VnZVQySjVxbm4?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Mon, 17 Nov 2025 08:00:00 GMT",The Morning Context,Kotak Mahindra,Kotak Mahindra Bank,Private Banks,Why Kotak Mahindra Bank is in a hurry to swallow IDBI - The Morning Context Why Kotak Mahindra Bank is in a hurry to swallow IDBI  The Morning Context,0.0,0.0,1.0,0.0,neutral,GNews,2025-12-09 13:45:54
How Uday Kotak uses dreams to manage risk and build value - McKinsey & Company,How Uday Kotak uses dreams to manage risk and build value  McKinsey & Company,https://news.google.com/rss/articles/CBMitgFBVV95cUxQbm9nRHdKalR3b2tZQldmaUltdWZwWVhxZU9jMU16a0pkY1NTRk1iOHIxYlVtWkV3V0YxYnJ4UkxCVjg2UVd6TzlrUzl0alFySVB1QWxqUkYyVzFxR1JLaE9UdXR1UGRRcWFSVE00eEYyWDdJN2psTy1hTVcxUEJJOXVkbWhXYVAxMzV5Y1k4ZFNwQURSR3RZYkJ4ODFCbE9ESU9iOW05NWNkRlZCa3kyOFlLTkphQQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Tue, 12 Aug 2025 07:00:00 GMT",McKinsey & Company,Kotak Mahindra,Kotak Mahindra Bank,Private Banks,How Uday Kotak uses dreams to manage risk and build value - McKinsey & Company How Uday Kotak uses dreams to manage risk and build value  McKinsey & Company,0.7184,0.273,0.615,0.112,positive,GNews,2025-12-09 13:45:54
Kotak Mahindra Bank Accelerates Transformation with TCS BaNCS - Tata Consultancy Services,Kotak Mahindra Bank Accelerates Transformation with TCS BaNCS  Tata Consultancy Services,https://news.google.com/rss/articles/CBMipwFBVV95cUxQUE1MZ1lJQ1gxZDdxWXdQVEszNTdqSERUTUhUWVplYTFpdFB3eFNOQTN4UjRiNlJoeWtndDktTU1FWTZ4VzNiMldFRkwycW9aVnRqcU83dTJ4akFfVVkweUxNbnFoZjlQdlBXTnUzTDVSLW5kZEVubnZDYWd6MkZIcHhoRTNWdW9mN2k4SWFYT3plNXdlckhHa3NYa0tXMGRVeEptaF85aw?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Thu, 06 Mar 2025 14:19:09 GMT",Tata Consultancy Services,Kotak Mahindra,Kotak Mahindra Bank,Private Banks,Kotak Mahindra Bank Accelerates Transformation with TCS BaNCS - Tata Consultancy Services Kotak Mahindra Bank Accelerates Transformation with TCS BaNCS  Tata Consultancy Services,0.0,0.0,1.0,0.0,neutral,GNews,2025-12-09 13:45:54
Kotak Mahindra Bank share price rises after board to consider stock split. Should you buy or sell? - livemint.com,Kotak Mahindra Bank share price rises after board to consider stock split. Should you buy or sell?  livemint.com,https://news.google.com/rss/articles/CBMi6gFBVV95cUxNTGptWURmUzdCaV9fdnpGRkZpUnRLV3ZqSlM3TmJ5YVFFMjdDbHp0LXdsenZJb2NWWXJqR2VTSFdtaHNRbFdJTVZsSHc0N2JONGRuN3htSld1NUhMQ1hyZ01Uemw0WFJ5dHRrNHJQSFlxTVpZanl0NFVkY2lSbm9BQnZ2QzJHUmFvNV9acjhtYUZWS0laVl9sLUhfTnN5Uk1UYWdRa2p3MVdNWEtIUWhMNlVZNm5LRlhqODl3RldtQmpSNk1xb2k1VTdYZEVQUE1KZG8xQmwtWFBfYTFCbDJscktQSmI3SHlxY3fSAe8BQVVfeXFMUDJhT05pMHRlRm1kcG1QNndlMEZUaElPMjdETmdNOXFhY2thRWd3bDVjWEhjYkNCaC04c2IyTUs5QVlWS3VtT21pN1dqdFljT0xOOGpaZDl1NnBjOUtFSUlvLTBLY2RFcGkyOWZJaEoxX08ycEpKMExjZWpndHlCRV9oM3g0QVprcDkzelRFUUhKY2NrR051VVpZc3ZsUERmRjVHdWpGemJIRFJjUmlhMkRUa3h6YUJtQlhzekJ0SFVyQmhnMjFfbm5meUdqTzBlaTh2R3pZeVhVRVAyNGxDTXd3bGtDNFF0a1ctbjlaYTQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Mon, 17 Nov 2025 08:00:00 GMT",livemint.com,Kotak Mahindra,Kotak Mahindra Bank,Private Banks,Kotak Mahindra Bank share price rises after board to consider stock split. Should you buy or sell? - livemint.com Kotak Mahindra Bank share price rises after board to consider stock split. Should you buy or sell?  livemint.com,0.5803,0.12,0.88,0.0,positive,GNews,2025-12-09 13:45:54
"Kotak Mahindra, IDFC First, PNB Penalized by RBI for Violating Regulatory Guidelines - News On AIR","Kotak Mahindra, IDFC First, PNB Penalized by RBI for Violating Regulatory Guidelines  News On AIR",https://news.google.com/rss/articles/CBMisgFBVV95cUxPVlJ3Y3pOLUtxVzg5R2djQm9La1Vqbm9BMGhXaFJQbDQwSkc3ZHE1OXc1S2RKT1NpQU1PNVZHaURwd3o0bWV2bmQySFJMdzJZdjBNU3IxRTlHWlFuMUp3U3BrS20wVkdkUXlVR21yZWd6VWY2MVM2emdKZmFhSDhZVGR2RHBucDlWTTgwYTV4NFpEUUoxTjVnaGVOa1RkSmFjV0dlSVh5enlBYmN6VjdaaU9n?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Thu, 17 Apr 2025 07:00:00 GMT",News On AIR,Kotak Mahindra,Kotak Mahindra Bank,Private Banks,"Kotak Mahindra, IDFC First, PNB Penalized by RBI for Violating Regulatory Guidelines - News On AIR Kotak Mahindra, IDFC First, PNB Penalized by RBI for Violating Regulatory Guidelines  News On AIR",-0.7906,0.0,0.806,0.194,negative,GNews,2025-12-09 13:45:54
"Kotak Mahindra Bank announces 5:1 stock split, first since 2010 - The New Indian Express","Kotak Mahindra Bank announces 5:1 stock split, first since 2010  The New Indian Express",https://news.google.com/rss/articles/CBMitgFBVV95cUxPenl5eHZmTzVQTlRTWFdTbThjY3ZkTXBsZ0RjMG44aldRYUpoMWhmUHNBTDVMamlMLVprTF9QQ0dBOTcxXzBDR1cwazBTMXZMbGxYbmhIenh6Nl8wSzZWR0swM0xSeHgweERhdzBuNEpNbXlRRWwxZVkwem91Mk9mVEFJUWwzQ1ZkUmFkYUNKUlZBZ1RLZ2RPOXhtSlRNTFpmbmduZUtJUUZpQ19FSi11NU9xOWJkQdIBwwFBVV95cUxOTG9JTFA4WkNoek5IM1QtSnhnWGdraEJZakxCZFNxVmsyM2dSOFV5UTlMUHhxYVV0OEpPQVhUa0U0cklfdHRvRjlVYmRweWFfdVNiSkNJdmZadUwzT1VHTDg0M2JYa0lxdWd6b2FYRllQbXlEVEVoQzl6UmIyamhPVUhPQkRaZTVaeTRyVFF1ZWJvOTBfZ1NkTzJQLXF4VFJQR0ZPSTVSbnlCXzNKWjRVTWV2NWhFSVRHUEluWXU1R21lV3M?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Fri, 21 Nov 2025 08:00:00 GMT",The New Indian Express,Kotak Mahindra,Kotak Mahindra Bank,Private Banks,"Kotak Mahindra Bank announces 5:1 stock split, first since 2010 - The New Indian Express Kotak Mahindra Bank announces 5:1 stock split, first since 2010  The New Indian Express",0.0,0.0,1.0,0.0,neutral,GNews,2025-12-09 13:45:54
Kotak Bank Board Meeting Nov 21: Stock Split Proposal - HDFC Sky,Kotak Bank Board Meeting Nov 21: Stock Split Proposal  HDFC Sky,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNVFowTGdEOWlYMEc2cld4SjB5SEt3Y1p5TUJOWWE1S0ZHVm5OWjRkcUNaeWlsVjdsZXZIWGgxaE9SMVJZbWcwNXZJa1ZSeHJSd1Bfbkg4TTJqRkN6akkwbDUwU1hFeXNyTmdBUHZ1V1lwd3ZKazEyZHhjN2xvR3VvRDUwMmRXS04wbDF6RXJCT3dIb2taTzdVRlM3MVFjMDNJS1VfaUhVYzNhX2c?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Mon, 17 Nov 2025 08:00:00 GMT",HDFC Sky,Kotak Mahindra,Kotak Mahindra Bank,Private Banks,Kotak Bank Board Meeting Nov 21: Stock Split Proposal - HDFC Sky Kotak Bank Board Meeting Nov 21: Stock Split Proposal  HDFC Sky,0.0,0.0,1.0,0.0,neutral,GNews,2025-12-09 13:45:54
Kotak Mahindra Bank hires trade head - Global Trade Review,Kotak Mahindra Bank hires trade head  Global Trade Review,https://news.google.com/rss/articles/CBMihgFBVV95cUxOTUlvNUFVQ1R0X1V3RWVycl9kYUNXWTlxS3BZeHFCbGFZRDhLMXBPVFRHZ05oQ1N6UHJEU0VGanhXLTQ5N1d2SmQzeTg1UEp5bGVCUlIyUlFNQUFxUlVXNTZTZHBGOURMVWFCUnRGZTZudHpvVDRQVFZ6cmYta0o5YXlFX0o4QQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Mon, 06 Oct 2025 07:00:00 GMT",Global Trade Review,Kotak Mahindra,Kotak Mahindra Bank,Private Banks,Kotak Mahindra Bank hires trade head - Global Trade Review Kotak Mahindra Bank hires trade head  Global Trade Review,0.0,0.0,1.0,0.0,neutral,GNews,2025-12-09 13:45:54
"Kotak Mahindra Bank's 40-year journey & the road forward from here, in the words of Uday Kotak & Ashok Vas - The Economic Times","Kotak Mahindra Bank's 40-year journey & the road forward from here, in the words of Uday Kotak & Ashok Vas  The Economic Times",https://news.google.com/rss/articles/CBMimwJBVV95cUxPVGxuUWMzMndwdlNXNEVvWHl6WHJBbzBqX1djN25XYVRHVXRtVVJzMF9sMmJTcVY2OE9qcXpPZF9Id3VsbjdodjM1LS1NNDBYZS02a1c1UkJTWWI5UzBtZXgzaHREdG5HNjhfaGsyR3A0bEN5VXM1ZDVkVVdCLVA2cm51dWZLbGd2bm5pWmdjY2hCUzR3ek5OUUc5Tm9US2xIMmFxVmFNWmY2ZC1NTXVkeWdXTVB0U1BaS3FQYjF0WHpqT2FkRGxwRllfaEo0ZVhqT25yWWNqLXkzc1hva1c2Njk3TEt4V2RZWDVFc1BLV2hVbks0MVpiUm9FZGM3MlV0aFpsbnphZWQ5TEtXT3c1V0Y5UURzRTRKTzVr0gGgAkFVX3lxTFBaSV9zSEhwLUN0T0VRNmJVT2gxbjktS1FMWFZyYmpQbEFPU210REt1NmU1aDJYREg0Nno0YjhIaXlrT0NzZEh4N05aQjl4X3lzcGhUbmUzQ2QwNDhxYjVhdlJfT1FjYmJMVHk4Tm93QVlPelJpX0RqWEN1VFd2eEFRM19oRGNCR2FDanRZTmRzVlV5WDdFUXFMOEdGQkpTYU1pX3l6REtvdkxjOWhiQWlPUE5RdlJaR2ZRQ2kyUjNlLVBOeVJNSGVfVGlxdE4xUUhhQjEzeXdKNmpXc2Z2LW1ZZl9wRGplbi1pWFJ2b2J2ZmNJT3dsbGdlZDhnTUV1SEFSakQ3MngtVmp4eWpUcTRTOGVOUkpQMldEOXlwcUNkZw?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Mon, 17 Nov 2025 08:00:00 GMT",The Economic Times,Kotak Mahindra,Kotak Mahindra Bank,Private Banks,"Kotak Mahindra Bank's 40-year journey & the road forward from here, in the words of Uday Kotak & Ashok Vas - The Economic Times Kotak Mahindra Bank's 40-year journey & the road forward from here, in the words of Uday Kotak & Ashok Vas  The Economic Times",0.0,0.0,1.0,0.0,neutral,GNews,2025-12-09 13:45:54
