title,description,url,published_date,publisher,keyword,bank,sector,text_for_sentiment,sentiment_compound,sentiment_positive,sentiment_neutral,sentiment_negative,sentiment_label,source,collected_at
TCS Expands Deal with Bank of Baroda to Bring Banking to the Doorsteps of the Unbanked - Tata Consultancy Services,TCS Expands Deal with Bank of Baroda to Bring Banking to the Doorsteps of the Unbanked  Tata Consultancy Services,https://news.google.com/rss/articles/CBMivAFBVV95cUxPbFZaVVliODJVV0gtT0NoXzlyelJLOTJTM2g1SFJMeVpjM2t3bHdZWW43eVRCTlJiZ2lUZy14MUlld0kzbm5JMmd1MzlyUzNrY1h1OXE0aURLWVU0NFhPZXF0NHdlLWotODhWZVd4NzhTMG13QWk0M3VpNl9Qa0dmaEE5bnJldWtMUWptM29hcWl1WGpPZkV3QlBOeTFJNjJBZjFxaE9JTzdYcW9iTnBhWWloWDlyQWlSWDVBcA?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Fri, 20 Dec 2024 08:00:00 GMT",Tata Consultancy Services,Bank of Baroda,Bank of Baroda,PSU Banks,TCS Expands Deal with Bank of Baroda to Bring Banking to the Doorsteps of the Unbanked - Tata Consultancy Services TCS Expands Deal with Bank of Baroda to Bring Banking to the Doorsteps of the Unbanked  Tata Consultancy Services,0.2023,0.07,0.93,0.0,positive,GNews,2025-12-09 13:49:47
"Bank of Baroda posts ₹4,809 cr. net profit in Q2 - The Hindu","Bank of Baroda posts ₹4,809 cr. net profit in Q2  The Hindu",https://news.google.com/rss/articles/CBMisgFBVV95cUxPREFQOFRnbm5CZXpJWFBLaHJWdHVybUpfb3N3Um5tQmJkb2ZENnhuYzYtenM2Wm0zNGt4cjVlQThla3h5bHUzTGVmVE42Q1J4dnNxMHNZbTR2OFV2Mjl1TktHUVNvYXF4M2h6NWtkRGcwNUI1UGp2TDRMMzlER1BBcG92M2tVaTVjX0stc0t2TDk1aDJpVTl1cTREelNfS1NLVHFSYml1NC1YaGUwWEg2NWtR0gG4AUFVX3lxTE1EcHJ1Q2JiOFRYdEJXdnpicUdMbHJFck1RMlNieGI3b25Za3lPVkw5UmZ4OGRzSDEyM2VibGRXbndpcURFWFVSdENXbnltUlhfQ0lmVm1veVU3UlBFZFFtVWx5OG1kNkFEaHpxQmVzcmcxSlBxV3ZKVnV6Ykc4UUtOYjZOVTRadEdSLVAwelFOQ0tlVTktTXF2YllZRFBzaHR5cFVPVmdLVTd1a1pkN3ZEQ01Oeld2LXA?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Sat, 01 Nov 2025 07:00:00 GMT",The Hindu,Bank of Baroda,Bank of Baroda,PSU Banks,"Bank of Baroda posts ₹4,809 cr. net profit in Q2 - The Hindu Bank of Baroda posts ₹4,809 cr. net profit in Q2  The Hindu",0.7003,0.201,0.799,0.0,positive,GNews,2025-12-09 13:49:47
bank of baroda reported its provisional business performance with global adv rising 12percent yoy - ICICI Direct,bank of baroda reported its provisional business performance with global adv rising 12percent yoy  ICICI Direct,https://news.google.com/rss/articles/CBMi6wFBVV95cUxOSms3aElpYWVVdDZSTzhyRU9Qc3Y4OVRPZG94TkxTRmpWMnBiVWZDSVlwd0g5aklfYmxqWjZWZ01tMkw3WFUyU2h6cnBFRGx2T3dTZW0ybUdDaHYxSHVNaHB1eDhrRnZIdXF1S2hjdVJlak9jMEtITXdnamN2VVg5SGdqdG9TMExleW1EbHJqWW4yZ0sxZDdiT1R5X0FJc0VWbFdDMkF2N2M1LVAyaHJkYWNRQTJEZnIzcm9hRVBxc1Z6QkJqOTFlN0FRN0lkRDh0Z3JOSi1JVXEtRTk4LS1VeTRXTi1vc21DWHNJ?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Fri, 04 Jul 2025 08:43:23 GMT",ICICI Direct,Bank of Baroda,Bank of Baroda,PSU Banks,bank of baroda reported its provisional business performance with global adv rising 12percent yoy - ICICI Direct bank of baroda reported its provisional business performance with global adv rising 12percent yoy  ICICI Direct,0.0,0.0,1.0,0.0,neutral,GNews,2025-12-09 13:49:47
"Bank of Baroda shares seeing some profit booking today, after the gains of past 5 days - HDFC Sky","Bank of Baroda shares seeing some profit booking today, after the gains of past 5 days  HDFC Sky",https://news.google.com/rss/articles/CBMirwFBVV95cUxQUnVzcjIxVjFxbWRpdkRGRjVIbnZ6LUdaZGo2T3RSMTlremNBQ3BSNi1FY0Q3VmZvTlJnbGlyRmN0VEo5QnpDSzMycXBMX0ZENER2S3U4TGRxaXVRT3NKbl9uVGtESGFMeEFQbVhMWTQ1TUczX2FMZjBPVEVkU3E5MlhUTUFUVVVacERUNW9LUEN1X2U3TEZUd2xldjhqWkhTaVZReE0tTXVGZ3p6bDNN?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Tue, 07 Oct 2025 07:00:00 GMT",HDFC Sky,Bank of Baroda,Bank of Baroda,PSU Banks,"Bank of Baroda shares seeing some profit booking today, after the gains of past 5 days - HDFC Sky Bank of Baroda shares seeing some profit booking today, after the gains of past 5 days  HDFC Sky",0.9186,0.326,0.674,0.0,positive,GNews,2025-12-09 13:49:47
"Bank of Baroda Q1FY26 results: Net profit up 1.9%, margins compress - Business Standard","Bank of Baroda Q1FY26 results: Net profit up 1.9%, margins compress  Business Standard",https://news.google.com/rss/articles/CBMipgFBVV95cUxQX0FKV21penY1Sm5Tek5xR1JEYS0yYTU5dGZBeDRiY3RDYkpqU3pJb2RDWkpPZFBrT29neEd2Tkxhb19ZamgteUhEaUh5SXdBWEd1ZnJERHQ2N09Lc01iRHBXSnlwQzVFdU5oRENxb0lNMWw2Mk5WTy15TmlfTTFEOEZ4Ni01YzA2QUhuekRIcnZWenAxb3l1bXJnaUJNQjFKSHU3ejNn0gGrAUFVX3lxTE93SHd2dk1UY2NMNmViSExUdm1ldFlyZWtmT0FqS0ZremI1QWN4eTBhY1J0cHl5WjJfaFRUX211Yjgxb29GLXQ1d1RyVml1SHJuNklMNEJKN3BmS3BxWldzT1RFVFF5Tm5lRUVXQWJkZ25jemRsYV85ZTQ5cXJOQ0o5Y3EtNDhIM3ItUDFoZ053OWxLNU1sa1VXZUpPQmV1eG5jZ3dtRnV5NHVJSQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Fri, 25 Jul 2025 07:00:00 GMT",Business Standard,BOB Bank,Bank of Baroda,PSU Banks,"Bank of Baroda Q1FY26 results: Net profit up 1.9%, margins compress - Business Standard Bank of Baroda Q1FY26 results: Net profit up 1.9%, margins compress  Business Standard",0.7003,0.188,0.812,0.0,positive,GNews,2025-12-09 13:49:47
SIDBI and Bank of Baroda sign MoU to strengthen credit delivery for MSMEs and startups - ET Edge Insights - ET Edge Insights,SIDBI and Bank of Baroda sign MoU to strengthen credit delivery for MSMEs and startups - ET Edge Insights  ET Edge Insights,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOcWxuejNvVldlcXdIRnFFVjcwR0taVGtjaE9rV1RUdzZ1c0U2RHBFSXNDc2ltNnlYeWQzb1I2dkZ2cmJIZ2E5bkppczFWZnRZUGx1WU1XLS1XV0lIeDR5RGhtYlVfSThVUUFUZlo4eHNBM1pDQlR2SVQ0NFl6djZaRThtbnN0TThmbTJwZ3lERHVIdDUwczN4T0huTHBMdVc1ZktrWndGbUxkSVA3LXJ5LUlLSmpDZlc5OS1lZ092NjlRQdIBxwFBVV95cUxORUJEUFNSSW4wLXBJaFFjT1lGTFNPRXRVVW14eDNmVl96RnFqSHlGM3A1ZzVoLWc4Z3ZkYjdJdnpZdktmMTNzWGpiNlVxOU90RWhhUjBwUTJaNXZXb3NGaUFxWjBCVTVtS2hmdWtrSi1KTF92Y0tVeG04N2V6RVNneTU3cm81a2J1WGxYRG5EUksyN0RUcEF4aHJvRF9mN3V5bjgtbFpQcVR2YmFyT0pEaUdkUklLdXFwamMwY3pKLUdGLWZTTlk4?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Thu, 20 Nov 2025 08:00:00 GMT",ET Edge Insights,Bank of Baroda,Bank of Baroda,PSU Banks,SIDBI and Bank of Baroda sign MoU to strengthen credit delivery for MSMEs and startups - ET Edge Insights - ET Edge Insights SIDBI and Bank of Baroda sign MoU to strengthen credit delivery for MSMEs and startups - ET Edge Insights  ET Edge Insights,0.8316,0.193,0.807,0.0,positive,GNews,2025-12-09 13:49:47
Bank of Baroda Unveils “bob Digi Udyam”: Revolutionising Digital MSME Lending - Elets BFSI,Bank of Baroda Unveils “bob Digi Udyam”: Revolutionising Digital MSME Lending  Elets BFSI,https://news.google.com/rss/articles/CBMipwFBVV95cUxNNGRPVFBGRVpQUHNoZ1pPcTBvc3lDaFdWNVk0eVVxWFNsVkFqV1lLMEhMMFVfcFVpVWxUMzF4VzdJZ2xieXNZYUd0ek1yejJ6TWdMVVY2TFRqbEFxS3hsM0I1MExaV1pLWC12TXZtdS1yNXp6Q0NYdzdjWWxMOXdSbFVQRDY3S0xqOTladlNVWU4wSXFVbDE4VXpZWjFZam9OLWFiUDdtRQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Wed, 03 Sep 2025 07:00:00 GMT",Elets BFSI,BOB Bank,Bank of Baroda,PSU Banks,Bank of Baroda Unveils “bob Digi Udyam”: Revolutionising Digital MSME Lending - Elets BFSI Bank of Baroda Unveils “bob Digi Udyam”: Revolutionising Digital MSME Lending  Elets BFSI,0.0,0.0,1.0,0.0,neutral,GNews,2025-12-09 13:49:47
"Virendra Somwanshi of Bank of Baroda on Digital Transformation, Talent Expansion, and Capturing India’s Wealth Boom - Hubbis","Virendra Somwanshi of Bank of Baroda on Digital Transformation, Talent Expansion, and Capturing India’s Wealth Boom  Hubbis",https://news.google.com/rss/articles/CBMi1wFBVV95cUxQenR4dV9tQXRWRzEyaC1PZDVFS0lMTmZ0UzN5WXlKcVFwbFJWczRZRTdPamxPOHRKZ0J5U092Ynh5aXJiWlhxaGpvSTZuaWVRa2M2eF9OM1k4MG0tRmgzSEFtXzZUaHVlMGRJVi1ka3EwVVh2T2hTRkxSdEU4YWE0VWN2V3A4a3BBMlFWN1BMeHJxdEtHbVFWNnhZOVdFS3RjYVNjVVNOUDB0ai10ZFFpRm0wdGpMWUFWbzI2WERralluVUxMaFZ3VzRtaEx1UFJ1b1FTeDA2NA?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Fri, 10 Jan 2025 08:00:00 GMT",Hubbis,Bank of Baroda,Bank of Baroda,PSU Banks,"Virendra Somwanshi of Bank of Baroda on Digital Transformation, Talent Expansion, and Capturing India’s Wealth Boom - Hubbis Virendra Somwanshi of Bank of Baroda on Digital Transformation, Talent Expansion, and Capturing India’s Wealth Boom  Hubbis",0.9001,0.279,0.721,0.0,positive,GNews,2025-12-09 13:49:47
Bank of Baroda reduces car loan and mortgage rates ahead of festive season - Fortune India,Bank of Baroda reduces car loan and mortgage rates ahead of festive season  Fortune India,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQV0FQSzNtNkI4c3FSXzU1WEE2ZGlSZ1NMUHpWakpmQnkyeHdUS2MxVmpLNWNwa1dpMW9kR2RiRFFmcGE0MFdVYlNuVTZOM29zbk9UMURQMURJb1VjRHg2N1VTZUpOdU5wZW5PSjBnSG4tY2VObmx4RTBkVHdpaGhtU0xob2d3Wkk2aUtOYTRVVkxyRlhMOGtpYkRsRF9ORFd6b0s1NHJDcGVpZVhSM0doMHF3U0I4MU9vSDQtajB1WW1NNVh4VHNIOEVGaVNiUzJF0gHeAUFVX3lxTE5MU05pRENVcndtLVVZRHIzaWd1T3k3RnNSZWFJdE9SeEk3TU44Zy1NaE9YU1BBTjlYMHBrLUNtdnI0Q2lWcUFnLVlrM3VRQVgzTlF0YVcweng2Nm1IdzNNeFlZWkotdnhfS2VLU3hQckdtZ1ItYjVQQXJmU0h4MHIxNVBvRzhMUjFJNXpGWjFPWGJzRmRHWi1tMjBRLTQxMm1vMVh4WndraXlodENVTTdJaVczdzVKQlM4cU5mZ1dmcnF1T1hrTGRWcG5hal9KUXN1dnZMMVJuVEVRRUxmQQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Thu, 28 Aug 2025 07:00:00 GMT",Fortune India,Bank of Baroda,Bank of Baroda,PSU Banks,Bank of Baroda reduces car loan and mortgage rates ahead of festive season - Fortune India Bank of Baroda reduces car loan and mortgage rates ahead of festive season  Fortune India,0.7184,0.171,0.829,0.0,positive,GNews,2025-12-09 13:49:47
"Bank of Baroda recruitment 2025: Notification released for 417 vacancies, direct link to apply here - Times of India","Bank of Baroda recruitment 2025: Notification released for 417 vacancies, direct link to apply here  Times of India",https://news.google.com/rss/articles/CBMihAJBVV95cUxORzBFN1d1Y1dkcFVWQXl0NWtrU19LVlV2TWtkeVZNSHNaaXIwVGlsV2JoVlRzUE8weTAta2VuQW5vU0xmaEtzYU1vM2l1VGhMRG1sdVhIOHpQdjE2QmY5NVBndHVicEMxTE9tNzUyQWtlandqUUt5N0gtMFFFajc4M0pWZm9MWWJXSm9xM1RNaHE4NndJeUtTUy1aZDhWWGpRR1REeDdVdkN4S1d6cGJiSnBfLWJCQWp3cFZXWHBUajRSMDY2M1BaQTEzUDN5NXA2SGtUZ3JVb2RESjJIVzA0ZXZBaHZ1MEZUNXpqYTcwTk9CUU5aNk9VYS1xZGM1bkZrN01YMtIBigJBVV95cUxORlJpU1N3X0I2NURSaHM4czNWS0dOcy15X3ZxLUVUOUVxdkFFakdXcWhsQU0yQWwxMjhnT3FnNjNSalNHNG51amxLR09mSGFKSlNmOS1yazRtVmVMNE9LRVdSS0xDTFhCdFRTdThBcUUtWFVjaWdhYndfUmtfdWpMaFhvdE5YV214WjZiQUpERlh0OUlLLXZpZzRmN3NiLWFGRVFaZUF5TldnT2t1WlF2dmlJRTE1eEszNEViaW9wYmZUZmxZbGVGaEg2dGlfYTBPSy0zSkt4VEIwanZOOFh1UG9mc0VTSXlzbktSZWttN2dpVGtkTmNpY1ZLcHF2eERNYmxyUm1PcUpXdw?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Thu, 07 Aug 2025 07:00:00 GMT",Times of India,Bank of Baroda,Bank of Baroda,PSU Banks,"Bank of Baroda recruitment 2025: Notification released for 417 vacancies, direct link to apply here - Times of India Bank of Baroda recruitment 2025: Notification released for 417 vacancies, direct link to apply here  Times of India",0.0,0.0,1.0,0.0,neutral,GNews,2025-12-09 13:49:47
