bank,title,description,content,url,source,author,publishedAt,urlToImage,text_for_sentiment,sentiment_compound,sentiment_positive,sentiment_neutral,sentiment_negative,sentiment_label,date
HDFC Bank,"Mcap Of Five Of Top-10 Most-Valued Firms Surges Rs 72,285 Crore; TCS, Infosys Biggest Winners","The combined market valuation of five of the top-10 most valued firms surged by Rs 72,284.74 crore last week, with Tata Consultancy Services (TCS) and Infosys emerging as the biggest winners.","While Bharti Airtel, TCS, ICICI Bank, Infosys and Bajaj Finance were the gainers, Reliance Industries, HDFC Bank, State Bank of India, Larsen &amp; Toubro, and Life Insurance Corporation of India (LI… [+37 chars]",https://www.ndtvprofit.com/markets/mcap-of-five-of-top-10-most-valued-firms-surges-rs-72285-crore-tcs-infosys-biggest-winners,Ndtvprofit.com,PTI,2025-12-07 05:18:28+00:00,https://media.assettype.com/bloombergquint%2F2025-04-08%2Fqzeewze1%2Fstock-market.jpg?rect=0%2C0%2C1472%2C773&w=1200&auto=format%2Ccompress&ogImage=true,"Mcap Of Five Of Top-10 Most-Valued Firms Surges Rs 72,285 Crore; TCS, Infosys Biggest Winners The combined market valuation of five of the top-10 most valued firms surged by Rs 72,284.74 crore last week, with Tata Consultancy Services (TCS) and Infosys emerging as the biggest winners.",0.8553,0.179,0.821,0.0,positive,2025-12-07
HDFC Bank,"Day Trading Guide for December 5, 2025: Intraday supports, resistances for Nifty50 stocks","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI and ITC","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI. B… [+2326 chars]",https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-december-05/article70357607.ece,BusinessLine,BL Research Bureau,2025-12-05 00:52:00+00:00,https://bl-i.thgim.com/public/incoming/vqgr8k/article70357739.ece/alternates/LANDSCAPE_1200/IMG_PO24_Buy_sell_2_1_F186LD5U.jpg,"Day Trading Guide for December 5, 2025: Intraday supports, resistances for Nifty50 stocks Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI and ITC",0.7717,0.146,0.854,0.0,positive,2025-12-05
HDFC Bank,HDFC Bank sees rupee falling to 92 in absence of quick US trade deal,"The rupee fell to an all-time low of 90.42 on
Thursday, extending an eight-month-long slide that has made it
Asia's worst-performing currency","Mumbai - Uncertainty over the timing of
the US.India trade deal is fuelling rupee volatility and the
absence of a quick agreement could push the currency to as low
as 92 per dollar, the head of tr… [+1679 chars]",https://www.thehindubusinessline.com/markets/forex/hdfc-bank-sees-rupee-falling-to-92-in-absence-of-quick-us-trade-deal/article70356643.ece,BusinessLine,Reuters,2025-12-04 07:09:33+00:00,https://bl-i.thgim.com/public/incoming/y3usdq/article70356675.ece/alternates/LANDSCAPE_1200/IMG_bl02_think1_lead_pic_2_1_EJF8AL08.jpg,"HDFC Bank sees rupee falling to 92 in absence of quick US trade deal The rupee fell to an all-time low of 90.42 on
Thursday, extending an eight-month-long slide that has made it
Asia's worst-performing currency",-0.4019,0.0,0.902,0.098,negative,2025-12-04
HDFC Bank,"Day Trading Guide for December 4, 2025: Intraday supports, resistances for Nifty50 stocks","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI and ITC","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI. B… [+2327 chars]",https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-december-04/article70353251.ece,BusinessLine,BL Research Bureau,2025-12-04 00:47:00+00:00,https://bl-i.thgim.com/public/incoming/u10keh/article69266039.ece/alternates/LANDSCAPE_1200/CCI_UDHindu_KSL_U8R45AOOD_R1528725515_5_ac09a597-d8df-4552-b78b-d9fa74b25d48.jpg,"Day Trading Guide for December 4, 2025: Intraday supports, resistances for Nifty50 stocks Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI and ITC",0.7717,0.146,0.854,0.0,positive,2025-12-04
HDFC Bank,"Stocks To Watch Today: IRFC, Motilal Oswal, HDFC Life Insurance, Vodafone Idea, Canara Bank","Indian Railway Finance Corp Ltd., Motilal Oswal Financial Services Ltd.,  HDFC Life Insurance Ltd., Canara Bank Ltd. and Vodafone Idea Ltd. are some of the stocks to watch on Tuesday.","Indian Railway Finance Corp Ltd., Motilal Oswal Financial Services Ltd., HDFC Life Insurance Ltd., Canara Bank Ltd. and Vodafone Idea Ltd. are some of the stocks to watch on Tuesday.<li>Indian Railwa… [+1281 chars]",https://www.ndtvprofit.com/markets/stocks-to-watch-today-irfc-motilal-oswal-hdfc-life-insurance-vodafone-idea-canara-bank,Ndtvprofit.com,Prajwal Jayaraj,2025-12-03 01:30:00+00:00,https://media.assettype.com/bloombergquint%2F2024-11-25%2Fscjg0r9h%2Fwall-of-tv-screens-showing-stock-market-analysis-2024-05-27-02-57-25-utc.jpg?w=1200&auto=format%2Ccompress&ogImage=true,"Stocks To Watch Today: IRFC, Motilal Oswal, HDFC Life Insurance, Vodafone Idea, Canara Bank Indian Railway Finance Corp Ltd., Motilal Oswal Financial Services Ltd.,  HDFC Life Insurance Ltd., Canara Bank Ltd. and Vodafone Idea Ltd. are some of the stocks to watch on Tuesday.",0.0,0.0,1.0,0.0,neutral,2025-12-03
HDFC Bank,"Day Trading Guide for December 3, 2025: Intraday supports, resistances for Nifty50 stocks","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI and ITC","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI. B… [+2333 chars]",https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-december-3-2025-intraday-supports-resistances-for-nifty50-stocks/article70349368.ece,BusinessLine,BL Research Bureau,2025-12-03 00:50:00+00:00,https://bl-i.thgim.com/public/incoming/2zgxw4/article70073645.ece/alternates/LANDSCAPE_1200/IMG_PO08_BSH_2_1_N48RC07F.jpg,"Day Trading Guide for December 3, 2025: Intraday supports, resistances for Nifty50 stocks Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI and ITC",0.7717,0.146,0.854,0.0,positive,2025-12-03
HDFC Bank,"Union, Yes Bank set to enter Bank Nifty as index expands","Nifty Bank index is expanding to 14 stocks with Yes Bank and Union Bank of India joining. This change, mandated by Sebi, will reduce the influence of top constituents like HDFC, ICICI, and SBI. The rebalancing will occur in tranches from December to March. Pa…","(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",https://economictimes.indiatimes.com/markets/stocks/news/union-yes-bank-set-to-enter-bank-nifty-as-index-expands/articleshow/125730822.cms,The Times of India,ET Bureau,2025-12-03 00:08:44+00:00,"https://img.etimg.com/thumb/msid-125730809,width-1200,height-630,imgsize-110060,overlay-etmarkets/articleshow.jpg","Union, Yes Bank set to enter Bank Nifty as index expands Nifty Bank index is expanding to 14 stocks with Yes Bank and Union Bank of India joining. This change, mandated by Sebi, will reduce the influence of top constituents like HDFC, ICICI, and SBI. The rebalancing will occur in tranches from December to March. Pa…",0.926,0.252,0.748,0.0,positive,2025-12-03
HDFC Bank,"Shapoorji Pallonji Group to tap banks to refinance ₹2,000-cr loan","Shapoorji Pallonji Group is shifting its debt refinancing plans. The group is now leaning towards mainstream banks for a ₹2,000 crore loan. This move comes as bank credit is more cost-effective than private credit. The loan will be secured by shares of Afcons…","Mumbai: The Shapoorji Pallonji (SP) Group is likely to tap mainstream banks instead of private credit to refinance about 2,000 crore of debt taken from HDFC Bank for an unlisted group entity, people … [+2233 chars]",https://economictimes.indiatimes.com/news/company/corporate-trends/shapoorji-pallonji-group-to-tap-banks-to-refinance-2000-cr-loan/articleshow/125730919.cms,The Times of India,Shilpy Sinha,2025-12-02 18:31:58+00:00,"https://img.etimg.com/thumb/msid-125725830,width-1200,height-630,imgsize-42134,overlay-etmarkets/articleshow.jpg","Shapoorji Pallonji Group to tap banks to refinance ₹2,000-cr loan Shapoorji Pallonji Group is shifting its debt refinancing plans. The group is now leaning towards mainstream banks for a ₹2,000 crore loan. This move comes as bank credit is more cost-effective than private credit. The loan will be secured by shares of Afcons…",0.765,0.167,0.792,0.041,positive,2025-12-02
HDFC Bank,"Shapoorji Pallonji Group to tap banks to refinance ₹2,000-cr loan","Shapoorji Pallonji Group is shifting its debt refinancing plans. The group is now leaning towards mainstream banks for a ₹2,000 crore loan. This move comes as bank credit is more cost-effective than private credit. The loan will be secured by shares of Afcons…","Mumbai: The Shapoorji Pallonji (SP) Group is likely to tap mainstream banks instead of private credit to refinance about 2,000 crore of debt taken from HDFC Bank for an unlisted group entity, people … [+2233 chars]",https://economictimes.indiatimes.com/news/company/corporate-trends/shapoorji-pallonji-group-to-tap-banks-to-refinance-2000-cr-loan/articleshow/125725777.cms,The Times of India,Shilpy Sinha,2025-12-02 18:31:58+00:00,"https://img.etimg.com/thumb/msid-125725830,width-1200,height-630,imgsize-42134,overlay-economictimes/articleshow.jpg","Shapoorji Pallonji Group to tap banks to refinance ₹2,000-cr loan Shapoorji Pallonji Group is shifting its debt refinancing plans. The group is now leaning towards mainstream banks for a ₹2,000 crore loan. This move comes as bank credit is more cost-effective than private credit. The loan will be secured by shares of Afcons…",0.765,0.167,0.792,0.041,positive,2025-12-02
HDFC Bank,"Market Wrap: Sensex slips 314 points, Nifty ends below 25,900 on monthly derivative expiry; PSU Bank stocks shine","Indian equities extended their decline for a third consecutive session on Tuesday, November 25, as a volatile derivatives expiry day impacted the market. The Sensex and Nifty closed lower, with major banking and IT stocks contributing to the downturn. While P…","Indian equities slipped for a third straight session on Tuesday, November 25, as a volatile derivatives expiry day dragged the Sensex and Nifty lower, with heavyweights ICICI Bank, HDFC Bank, Infosys… [+3202 chars]",https://economictimes.indiatimes.com/markets/stocks/news/market-wrap-sensex-slips-314-points-nifty-ends-below-25900-on-monthly-derivative-expiry-psu-bank-stocks-shine/articleshow/125562195.cms,The Times of India,Veer Sharma,2025-11-25 10:17:00+00:00,"https://img.etimg.com/thumb/msid-125562157,width-1200,height-630,imgsize-133889,overlay-etmarkets/articleshow.jpg","Market Wrap: Sensex slips 314 points, Nifty ends below 25,900 on monthly derivative expiry; PSU Bank stocks shine Indian equities extended their decline for a third consecutive session on Tuesday, November 25, as a volatile derivatives expiry day impacted the market. The Sensex and Nifty closed lower, with major banking and IT stocks contributing to the downturn. While P…",0.4939,0.085,0.881,0.035,positive,2025-11-25
