bank,title,description,content,url,source,author,publishedAt,urlToImage,text_for_sentiment,sentiment_compound,sentiment_positive,sentiment_neutral,sentiment_negative,sentiment_label,date
State Bank of India,"We need not raise capital for the next 5-6 years, says SBI Chairman Challa Sreenivasulu Setty","Our ₹100 lakh crore business comprises ₹55-56 lakh crore of deposits and ₹44-45 lakh crore of loans, says SBI Chairman CS Setty","In the last seven decades, State Bank of Indias total business (deposits plus advances) has zoomed from a modest 332 crore (when Imperial Bank was nationalised in 1955 and renamed State Bank of India… [+6300 chars]",https://www.thehindubusinessline.com/specials/current-account/we-need-not-raise-capital-for-the-next-5-6-years-says-sbi-chairman-challa-sreenivasulu-setty/article70366053.ece,BusinessLine,Piyush Shukla & K Ram Kumar,2025-12-08 02:05:00+00:00,https://bl-i.thgim.com/public/news/12ndug/article70369711.ece/alternates/LANDSCAPE_1200/BL0812_Banking_Lead_C%20S%20Setty%20Chairman%20SBI.jpg,"We need not raise capital for the next 5-6 years, says SBI Chairman Challa Sreenivasulu Setty Our ₹100 lakh crore business comprises ₹55-56 lakh crore of deposits and ₹44-45 lakh crore of loans, says SBI Chairman CS Setty",0.0,0.0,1.0,0.0,neutral,2025-12-08
State Bank of India,"Mcap Of Five Of Top-10 Most-Valued Firms Surges Rs 72,285 Crore; TCS, Infosys Biggest Winners","The combined market valuation of five of the top-10 most valued firms surged by Rs 72,284.74 crore last week, with Tata Consultancy Services (TCS) and Infosys emerging as the biggest winners.","While Bharti Airtel, TCS, ICICI Bank, Infosys and Bajaj Finance were the gainers, Reliance Industries, HDFC Bank, State Bank of India, Larsen &amp; Toubro, and Life Insurance Corporation of India (LI… [+37 chars]",https://www.ndtvprofit.com/markets/mcap-of-five-of-top-10-most-valued-firms-surges-rs-72285-crore-tcs-infosys-biggest-winners,Ndtvprofit.com,PTI,2025-12-07 05:18:28+00:00,https://media.assettype.com/bloombergquint%2F2025-04-08%2Fqzeewze1%2Fstock-market.jpg?rect=0%2C0%2C1472%2C773&w=1200&auto=format%2Ccompress&ogImage=true,"Mcap Of Five Of Top-10 Most-Valued Firms Surges Rs 72,285 Crore; TCS, Infosys Biggest Winners The combined market valuation of five of the top-10 most valued firms surged by Rs 72,284.74 crore last week, with Tata Consultancy Services (TCS) and Infosys emerging as the biggest winners.",0.8553,0.179,0.821,0.0,positive,2025-12-07
State Bank of India,"Liquidity won’t be a constraint: Dinesh Kumar Khara on RBI policy, growth outlook & rupee strategy","Former SBI Chairman Dinesh Kumar Khara says RBI’s latest 25 bps rate cut will gradually transmit through the banking system, supporting economic growth. He explains why the Monetary Policy Committee kept its stance neutral, when a shift may come, how liquidit…","(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",https://economictimes.indiatimes.com/markets/expert-view/liquidity-wont-be-a-constraint-dinesh-kumar-khara-on-rbi-policy-growth-outlook-rupee-strategy/articleshow/125784100.cms,The Times of India,Nandini Sanyal,2025-12-05 07:41:35+00:00,"https://img.etimg.com/thumb/msid-125784090,width-1200,height-630,imgsize-33000,overlay-etmarkets/articleshow.jpg","Liquidity won’t be a constraint: Dinesh Kumar Khara on RBI policy, growth outlook & rupee strategy Former SBI Chairman Dinesh Kumar Khara says RBI’s latest 25 bps rate cut will gradually transmit through the banking system, supporting economic growth. He explains why the Monetary Policy Committee kept its stance neutral, when a shift may come, how liquidit…",0.7184,0.128,0.839,0.033,positive,2025-12-05
State Bank of India,Diagnostic stocks shine on strong Q2; midcap IT outperforms but valuations remain stretchy: Sunny Agrawal,"Diagnostic companies delivered strong Q2 earnings driven by volume growth and deeper penetration, says SBI Cap Securities’ Sunny Agrawal. Midcap IT continues to outperform on rupee tailwinds and easing global uncertainty, though valuations remain high. Agrawa…","(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",https://economictimes.indiatimes.com/markets/expert-view/diagnostic-stocks-shine-on-strong-q2-midcap-it-outperforms-but-valuations-remain-stretchy-sunny-agrawal/articleshow/125780550.cms,The Times of India,Nandini Sanyal,2025-12-05 04:34:02+00:00,"https://img.etimg.com/thumb/msid-125780578,width-1200,height-630,imgsize-47008,overlay-etmarkets/articleshow.jpg","Diagnostic stocks shine on strong Q2; midcap IT outperforms but valuations remain stretchy: Sunny Agrawal Diagnostic companies delivered strong Q2 earnings driven by volume growth and deeper penetration, says SBI Cap Securities’ Sunny Agrawal. Midcap IT continues to outperform on rupee tailwinds and easing global uncertainty, though valuations remain high. Agrawa…",0.9501,0.297,0.657,0.046,positive,2025-12-05
State Bank of India,"Day Trading Guide for December 5, 2025: Intraday supports, resistances for Nifty50 stocks","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI and ITC","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI. B… [+2326 chars]",https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-december-05/article70357607.ece,BusinessLine,BL Research Bureau,2025-12-05 00:52:00+00:00,https://bl-i.thgim.com/public/incoming/vqgr8k/article70357739.ece/alternates/LANDSCAPE_1200/IMG_PO24_Buy_sell_2_1_F186LD5U.jpg,"Day Trading Guide for December 5, 2025: Intraday supports, resistances for Nifty50 stocks Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI and ITC",0.7717,0.146,0.854,0.0,positive,2025-12-05
State Bank of India,"Nifty PSU Bank Index falls 0.22% as SBI, PNB decline","PSU Bank Index drops 0.22% as SBI and PNB decline, despite strong medium-term performance and trading activity.","The Nifty PSU Bank index declined 17.95 points, or 0.22 per cent, to settle at 8,235.25 on Wednesday afternoon, extending losses from the previous session when it shed over 3 per cent. The index open… [+1524 chars]",https://www.thehindubusinessline.com/markets/nifty-psu-bank-index-falls-022-as-sbi-pnb-decline/article70356997.ece,BusinessLine,BL Mumbai Bureau,2025-12-04 09:05:47+00:00,https://bl-i.thgim.com/public/incoming/phfkye/article70357054.ece/alternates/LANDSCAPE_1200/iStock-1409383663.jpg,"Nifty PSU Bank Index falls 0.22% as SBI, PNB decline PSU Bank Index drops 0.22% as SBI and PNB decline, despite strong medium-term performance and trading activity.",-0.0005,0.089,0.822,0.089,neutral,2025-12-04
State Bank of India,"Day Trading Guide for December 4, 2025: Intraday supports, resistances for Nifty50 stocks","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI and ITC","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI. B… [+2327 chars]",https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-december-04/article70353251.ece,BusinessLine,BL Research Bureau,2025-12-04 00:47:00+00:00,https://bl-i.thgim.com/public/incoming/u10keh/article69266039.ece/alternates/LANDSCAPE_1200/CCI_UDHindu_KSL_U8R45AOOD_R1528725515_5_ac09a597-d8df-4552-b78b-d9fa74b25d48.jpg,"Day Trading Guide for December 4, 2025: Intraday supports, resistances for Nifty50 stocks Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI and ITC",0.7717,0.146,0.854,0.0,positive,2025-12-04
State Bank of India,"Indian bonds slip; central bank not major buyer, state banks lead","Indian government bonds saw a dip Wednesday, reversing some of Tuesday's gains. Market speculation of Reserve Bank of India buying was countered by data showing limited purchases by the ""Others"" category.","(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",https://economictimes.indiatimes.com/markets/bonds/indian-bonds-slip-central-bank-not-major-buyer-state-banks-lead/articleshow/125734502.cms,The Times of India,Reuters,2025-12-03 05:28:02+00:00,"https://img.etimg.com/thumb/msid-125734689,width-1200,height-630,imgsize-49592,overlay-etmarkets/articleshow.jpg","Indian bonds slip; central bank not major buyer, state banks lead Indian government bonds saw a dip Wednesday, reversing some of Tuesday's gains. Market speculation of Reserve Bank of India buying was countered by data showing limited purchases by the ""Others"" category.",0.128,0.054,0.903,0.043,positive,2025-12-03
State Bank of India,"Day Trading Guide for December 3, 2025: Intraday supports, resistances for Nifty50 stocks","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI and ITC","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI. B… [+2333 chars]",https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-december-3-2025-intraday-supports-resistances-for-nifty50-stocks/article70349368.ece,BusinessLine,BL Research Bureau,2025-12-03 00:50:00+00:00,https://bl-i.thgim.com/public/incoming/2zgxw4/article70073645.ece/alternates/LANDSCAPE_1200/IMG_PO08_BSH_2_1_N48RC07F.jpg,"Day Trading Guide for December 3, 2025: Intraday supports, resistances for Nifty50 stocks Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI and ITC",0.7717,0.146,0.854,0.0,positive,2025-12-03
State Bank of India,"FIs exit Meesho anchor allotment, allege unfair SBI MF allocation in IPO","Capital Group, Norges Bank Investment Management, ICICI Prudential Mutual, and Nippon India Mutual were among the funds that opted out of the e-commerce marketplace's ₹2,439-crore anchor book, said sources.","(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",https://economictimes.indiatimes.com/markets/ipos/fpos/fis-exit-meesho-anchor-allotment-allege-unfair-sbi-mf-allocation-in-ipo/articleshow/125730985.cms,The Times of India,ET Bureau,2025-12-03 00:42:32+00:00,"https://img.etimg.com/thumb/msid-125730981,width-1200,height-630,imgsize-373007,overlay-etmarkets/articleshow.jpg","FIs exit Meesho anchor allotment, allege unfair SBI MF allocation in IPO Capital Group, Norges Bank Investment Management, ICICI Prudential Mutual, and Nippon India Mutual were among the funds that opted out of the e-commerce marketplace's ₹2,439-crore anchor book, said sources.",-0.4767,0.0,0.928,0.072,negative,2025-12-03
