title,VADER_label,VADER_score,FinBERT_label,FinBERT_score
India's HDFC Bank beats quarterly profit expectations on better lending margins - Reuters,Positive,0.891,Positive,1.0
"HDFC Bank Q3 profit jumps 12% to ₹19,807 crore - The Hindu",Positive,0.7003,Positive,1.0
HDFC Bank’s Net Income Exceeds Estimates on Strong Loan Growth - Bloomberg,Positive,0.8957,Negative,0.9625298976898192
Will HDFC Bank shares stage a comeback after recent underperformance? Target prices - MSN,Positive,0.5803,Negative,0.6544612646102905
HDFC Bank Q3 results: Net profit likely to rise up to 7% YoY on robust loan growth - Upstox,Positive,0.93,Positive,1.0
"HDFC Bank net profit rises 11.5% to Rs 18,653 crore on back of ltreasury profits - Times of India",Positive,0.891,Positive,0.999996542930603
Earnings preview: HDFC Bank likely to post modest earnings growth in Q3 - BusinessLine,Positive,0.6369,Positive,0.9965401887893676
HDFC Bank Q3 Preview: Muted Profit Growth Expected Amid Stable Margins - Whalesbook,Positive,0.9246,Negative,0.9999877214431764
HDFC Bank Q3FY26 preview: Street eyes steady earnings amid LDR concerns - CNBC TV18,Neutral,0.0,Positive,0.9426138401031494
"HDFC Bank stock outlook: Brokerages bullish after Q3 profit beat, flag deposit growth as key monitor - Moneycontrol",Positive,0.875,Positive,1.0
"One hit, one miss: HDFC Bank posts 12% profit jump; ICICI Bank earnings slump - theweek.in",Positive,0.5574,Negative,0.9999943971633912
HDFC Bank Q3 results preview: Profit may post muted growth; NIMs stable - Business Standard,Positive,0.9246,Neutral,0.8914515376091003
"HDFC Bank Q3 results preview: Net profit likely to rise 11%, NII to remain healthy - Mint",Positive,0.8807,Positive,0.9999997615814208
"Q3 Results: HDFC Bank, ICICI Bank, YES Bank, RBL Bank, UCO Bank, IDBI Bank & others to post earnings on Jan 17 - Upstox",Positive,0.7824,Neutral,0.9999940395355223
"Downtime alert for HDFC Bank net banking services for January 2026: Dates, what will work and not - Times of India",Positive,0.5267,Neutral,0.999972939491272
HDFC Bank shares slip today post Q3 results despite bullish brokerage calls - Moneycontrol,Positive,0.5267,Negative,0.9999897480010986
"HDFC Bank Q3 net rises 11.5% to ₹18,654 crore - The Hindu",Neutral,0.0,Positive,0.997257649898529
"HDFC Bank eyes faster loan growth, says high credit-deposit ratio not a constraint - Mint",Positive,0.6369,Positive,0.9999871253967284
CD ratio won't constrain HDFC Bank's loan growth aspirations: MD Jagdishan - Business Standard,Positive,0.6369,Neutral,0.743186891078949
"Reliance Industries, HDFC Bank, ICICI Bank Q3 earnings to drive markets on Monday; check key numbers here - Upstox",Neutral,0.0,Neutral,0.9999974966049194
"HDFC Bank Q3 Results Preview: PAT, NII and key factors to watch - Zee Business",Neutral,0.0,Neutral,0.9999595880508424
HDFCBANK Outlook for the Week - Equitypandit,Neutral,0.0,Neutral,0.999997615814209
"Q3 results 2026: HDFC Bank, ICICI Bank, Yes Bank, IDBI Bank among companies to declare earnings today; check full list - MSN",Positive,0.6597,Neutral,0.9999912977218628
"HDFC Bank Q3 FY26 Results: From almost in line PAT to steady asset quality, 5 things investors should know - Zee Business",Positive,0.6124,Positive,0.9806697964668274
"HDFC Bank Q3 Results | Net profit beats estimates, NII up 6% at ₹32,615 crore - CNBC TV18",Positive,0.7003,Positive,0.9999998807907104
"HDFC Bank Q3 Results: PAT jumps 11% YoY to Rs 18,654 crore, beats estimates; NII up 6.4% - The Economic Times",Neutral,0.0,Positive,0.9999998807907104
"HDFC Bank Q3 net profit rises 11.5% YoY to Rs 18,654 crore; asset quality stable, loans grow in double... - Moneycontrol",Positive,0.9217,Positive,1.0
"CLSA Sets ₹1,200 Target for HDFC Bank with 28% Upside Potential - scanx.trade",Neutral,0.0,Positive,0.9957348704338074
"HDFC Bank Q3 Results 2026 Highlights: Net profit rises 11% to ₹18,654 crore; NII up 6.4% YoY - Mint",Positive,0.7003,Positive,0.9999998807907104
HDFC Bank enables digital rupee payments for merchants - Asian Banking & Finance,Neutral,0.0,Neutral,0.9310544729232788
"Loan growth, margin tailwinds to support HDFC, ICICI Bank in Q3 | Mint - Mint",Positive,0.8625,Positive,0.9999983310699464
