Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Diff,ADX,RSI_14,Stoch_K,Stoch_D,ROC_12,Williams_R,BB_High,BB_Mid,BB_Low,BB_Width,BB_Percent,ATR_14,StdDev_20,OBV,Volume_SMA_20,VWAP,Returns,Log_Returns,Volatility_20,Price_Change,HL_Range,Avg_Price
Date,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
2019-01-01,350.95703125,351.9700913150696,343.8655224616585,348.7861630154639,7759872.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,7759872.0,,348.9308816755761,,,,,8.104568853411138,348.9308816755761
2019-01-02,351.777099609375,354.96102751701005,347.62831204977766,348.78612007670745,18243156.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,26003028.0,,350.7020844778038,0.0023366631420780326,0.0023339373900420225,,0.820068359375,7.33271546723239,351.45547972538753
2019-01-03,350.474609375,354.38216034461936,349.3168012277061,352.1630624139711,12884409.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,13118619.0,,350.9304029823304,-0.0037026009817617833,-0.0037094725758681836,,-1.302490234375,5.065359116913271,351.3911903157752
2019-01-04,352.3560485839844,355.82941421941774,345.4574881633734,349.1238610869647,22896026.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,36014645.0,,351.03561726073303,0.005368261091265758,0.005353903338881391,,1.881439208984375,10.371926056044344,351.2143169889252
2019-01-07,354.76812744140625,357.9520557825124,353.6585489960862,354.5751495958849,12719847.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,48734492.0,,351.79091385346686,0.006845572446152914,0.006822247901166882,,2.412078857421875,4.293506786426178,355.4595774066683
2019-01-08,366.7802429199219,368.37220707061374,353.7068037667955,354.8645824926237,21501136.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,70235628.0,,354.2907913171691,0.03385906046619014,0.03329846163742159,,12.012115478515625,14.665403303818266,362.95308458577705
2019-01-09,368.806396484375,370.0606641453259,362.390280629292,368.2274923930572,21730142.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,91965770.0,,356.65234822927783,0.0055241622294675,0.005508960005967188,,2.026153564453125,7.670383516033894,367.08578041966433
2019-01-10,366.1531372070313,368.7099318810161,362.8244605456161,367.5521530663013,14497154.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,77468616.0,,357.66575369626065,-0.007194179121175037,-0.007220182015832213,,-2.653259277343693,5.885471335399984,365.8958432112211
2019-01-11,365.2364807128906,367.793304440289,362.052552653808,367.2144003992878,12537973.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,64930643.0,,358.3033228075346,-0.002503478465684661,-0.0025066174078425397,,-0.9166564941406818,5.740751786480985,365.02744593566257
2019-01-14,360.2193603515625,365.3812078002834,359.5922266116501,365.3812078002834,14844029.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,50086614.0,,358.62208936773374,-0.013736635375347528,-0.01383185596364838,,-5.017120361328125,5.788981188633272,361.730931587832
2019-01-15,359.6404724121094,362.1972666624671,357.56609328235805,360.4123248273668,12960779.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,37125835.0,,358.7106493469124,-0.001607042827704075,-0.0016083355061411485,,-0.578887939453125,4.631173380109033,359.8012774523115
2019-01-16,362.100830078125,366.39433704970713,358.9651313410307,358.9651313410307,15106484.0,,,,359.6819081600487,,,,,0.0,,,,,,,,,,,0.0,,52232319.0,,359.0145897885947,0.006841159031724109,0.006817864484064487,,2.460357666015625,7.42920570867642,362.4867661562876
2019-01-17,361.4254760742188,364.6576638240505,359.6887636763766,362.7762327541267,13171721.0,,,,359.95014937761334,,,,,0.0,61.671153723955484,,,2.982828065000851,,,,,,,7.180562435562601,,39060598.0,,359.20538389230524,-0.0018650992977853331,-0.0018668407611522502,,-0.6753540039061932,4.968900147673878,361.9239678582153
2019-01-18,358.9168701171875,363.1621175307921,357.3249060176213,361.4254347756805,12212121.0,,,,359.79118333754786,,,,,0.0,54.84925460426946,57.45854646365006,,2.0296291361037255,-42.54145353634994,,,,,,7.084608798248902,,26848477.0,,359.2395395677331,-0.006940866438856608,-0.006965066295978292,,-2.508605957031307,5.837211513170814,359.8012978885336
2019-01-21,358.62744140625,362.9209186599025,357.56612216632664,359.88170904343286,8908581.0,,,,359.6121461173482,,,,,0.0,54.1056202512667,53.5294843744455,,2.3262261553808172,-46.4705156255545,,,,,,6.961050776486542,,17939896.0,,359.2582132190729,-0.0008063948368963736,-0.0008067201481108066,,-0.2894287109375,5.354796493575861,359.70482741082634
2019-01-22,356.0705871582031,359.3992632532955,353.22435562585366,357.5178325135855,14756076.0,,,,359.0672908928643,,,,,0.0,47.92414502395376,43.13710962606978,51.375046821388445,1.0542003150354282,-56.86289037393022,,,,,,6.90489769441192,,3183820.0,,359.06954279535915,-0.007129555502002116,-0.007155092232243071,,-2.556854248046875,6.174907627441826,356.2314020124507
2019-01-23,354.4786376953125,360.5570861037994,353.5620665992125,355.82939419354847,9726450.0,,,,358.3613442470871,,,,,0.0,44.51413482406146,36.66660572015784,44.44439990689104,-0.0815997051881619,-63.33339427984216,,,,,,6.911334966567274,,-6542630.0,,358.9562664565151,-0.004470881674321858,-0.004480905955202339,,-1.591949462890625,6.995019504586878,356.1992634661081
